slug,title,sku,price,currency,availability,categories,url,image,description
a8,A8折叠麻将机,,699.00,USD,http://schema.org/InStock,折叠款旋翼机,https://www.luundy.com/product/a8/,https://www.luundy.com/wp-content/uploads/2025/12/A8ZD.webp,Luundy A8折叠麻将机，超薄旋翼机芯，四轮万向移动轻松折叠收纳。月光白/香槟金/贵族蓝三色可选，全美免费配送。
canhong52zhedie,灿鸿52折叠麻将机,,599.00,USD,http://schema.org/InStock,折叠款四口机,https://www.luundy.com/product/canhong52zhedie/,https://www.luundy.com/wp-content/uploads/2025/12/zdchjb.webp,Luundy灿鸿52折叠麻将机，超薄折叠设计，四轮万向移动轻松收纳。月光白/香槟金/星空灰多色可选，全美免费配送一年质保。
canhong52canzhuo,灿鸿52餐桌麻将机,,599.00,USD,http://schema.org/InStock,餐桌款四口机,https://www.luundy.com/product/canhong52canzhuo/,https://www.luundy.com/wp-content/uploads/2025/12/chbs.webp,Luundy灿鸿52餐桌麻将机，优雅两用设计无缝切换麻将娱乐与日常用餐。静音电机，全美免费配送，一年质保。
a8canzhuo,A8餐桌麻将机,,699.00,USD,http://schema.org/InStock,餐桌款旋翼机,https://www.luundy.com/product/a8canzhuo/,https://www.luundy.com/wp-content/uploads/2025/12/A8czb.webp,Luundy A8餐桌麻将机，超薄旋翼机芯，桌面平滑一体。月光白/香槟金/星空灰/贵族蓝四色可选，全美免费配送。
fuyunzhedie,福韵折叠麻将机,,599.00,USD,http://schema.org/InStock,折叠款四口机,https://www.luundy.com/product/fuyunzhedie/,https://www.luundy.com/wp-content/uploads/2025/12/未标题-3.webp,Luundy福韵折叠麻将机，四口机芯静音洗牌，四轮万向移动方便收纳。月光白/香槟金/琥珀橙三色可选，全美免费配送。
fuyucanzhuo,福韵餐桌麻将机,,599.00,USD,http://schema.org/InStock,餐桌款四口机,https://www.luundy.com/product/fuyucanzhuo/,https://www.luundy.com/wp-content/uploads/2025/12/未标题-12.webp,Luundy福韵餐桌麻将机，四口机芯安静洗牌，皮革包裹机身，桌面平滑耐用可作日常餐桌。全美免费配送一年质保。
lewanjiazhedie,乐万家折叠麻将机,,599.00,USD,http://schema.org/InStock,折叠款四口机,https://www.luundy.com/product/lewanjiazhedie/,https://www.luundy.com/wp-content/uploads/2025/12/未标题-17.webp,Luundy乐万家折叠麻将机，四口机芯洗牌安静出牌流畅，四轮万向移动收纳方便。香槟金/星空灰可选，全美免费配送。
吉祥折叠,吉祥折叠麻将机,,699.00,USD,http://schema.org/InStock,折叠款旋翼机,https://www.luundy.com/product/%e5%90%89%e7%a5%a5%e6%8a%98%e5%8f%a0/,https://www.luundy.com/wp-content/uploads/2025/12/未标题-24.webp,Luundy吉祥折叠麻将机，四口机芯洗牌安静，哑光金属漆面搭配绒面桌面简约大气。四轮万向移动，全美免费配送。
jixiangzhedie,吉祥餐桌麻将机,,699.00,USD,http://schema.org/InStock,餐桌款旋翼机,https://www.luundy.com/product/jixiangzhedie/,https://www.luundy.com/wp-content/uploads/2025/12/未标题-33.webp,Luundy吉祥餐桌麻将机，四口机芯洗牌安静，全金属烤漆搭配钢化玻璃桌面，简洁耐用可作日常餐桌。全美免费配送。
ruyizhedie,如意折叠麻将机,,599.00,USD,http://schema.org/InStock,折叠款四口机,https://www.luundy.com/product/ruyizhedie/,https://www.luundy.com/wp-content/uploads/2025/12/未标题-36.webp,Luundy如意折叠麻将机，四口机芯洗牌安静，金属拉丝面板搭配香槟金边框简约现代。美国现货派送，全美免费配送。
ruyicanzhuo,如意餐桌麻将机,,599.00,USD,http://schema.org/InStock,餐桌款四口机,https://www.luundy.com/product/ruyicanzhuo/,https://www.luundy.com/wp-content/uploads/2025/12/未标题-40.webp,Luundy如意餐桌麻将机，四口机芯洗牌安静，金属拉丝工艺搭配香槟金装饰，桌面平滑耐用。全美免费配送一年质保。
易锦60,易锦60折叠麻将机,,599.00,USD,http://schema.org/InStock,折叠款四口机,https://www.luundy.com/product/%e6%98%93%e9%94%a660/,https://www.luundy.com/wp-content/uploads/2025/12/未标题-11.webp,Luundy易锦60折叠麻将机，四口机芯洗牌安静，流线型设计搭配金色装饰线条时尚大气。美国本土现货，全美免费配送。
易锦60餐桌,易锦60餐桌麻将机,test-1,599.00,USD,http://schema.org/InStock,餐桌款四口机,https://www.luundy.com/product/%e6%98%93%e9%94%a660%e9%a4%90%e6%a1%8c/,https://www.luundy.com/wp-content/uploads/2025/12/未标题-20-1.webp,Luundy易锦60餐桌麻将机，四口机芯洗牌安静，流线型金属框架搭配金色装饰，桌面平滑耐用。全美免费配送一年质保。
canhong52xyj,灿鸿52旋翼麻将机,,699.00,USD,http://schema.org/InStock,折叠款旋翼机,https://www.luundy.com/product/canhong52xyj/,https://www.luundy.com/wp-content/uploads/2026/02/autoz-mo97g.webp,Luundy灿鸿52旋翼麻将机，旋翼机芯环形储牌仓斜口出牌，可选双折叠更省空间。美国仓库现货直发，免费送货上门。
